0005193-07.2016.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM02/0005193-07.2016.8.17.0480
0073606-59.2013.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0073606-59.2013.8.17.0001
0007406-67.2014.8.17.1090,/TJPE/CAPITAL/NUCLEO 4.0 SFH/SFH/0007406-67.2014.8.17.1090
0000126-82.2020.8.17.1430,/TJPE/AGRESTE1/TACAIMBO/VUNICA/0000126-82.2020.8.17.1430
0000310-17.2020.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000310-17.2020.8.17.8033
0087750-72.2012.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0087750-72.2012.8.17.0001
0005531-10.2007.8.17.8009,/TJPE/CAPITAL/PRESIDENCIA/0005531-10.2007.8.17.8009
0030887-37.2012.8.17.8201,/TJPE/CAPITAL/PRESIDENCIA/0030887-37.2012.8.17.8201
0003219-82.2007.8.17.8002,/TJPE/CAPITAL/PRESIDENCIA/0003219-82.2007.8.17.8002
0000012-32.1996.8.17.1060,/TJPE/SERTAO2/PARNAMIRIM/VUNICA/0000012-32.1996.8.17.1060
0000282-66.2018.8.17.0290,/TJPE/SERTAO2/BODOCO/VUNICA/0000282-66.2018.8.17.0290
0007878-21.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0007878-21.2015.8.17.0480
0004803-66.2018.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0004803-66.2018.8.17.0480
0116353-24.2013.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0116353-24.2013.8.17.0001
0000119-37.2016.8.17.0620,/TJPE/SERTAO1/FLORESTA/VUNICA/0000119-37.2016.8.17.0620
0010641-79.2012.8.17.0001,/TJPE/CAPITAL/MILITAR/VJM/0010641-79.2012.8.17.0001
0072624-45.2013.8.17.0001,/TJPE/CAPITAL/ACIDENTES DE TRABALHO/VACTRAB01/0072624-45.2013.8.17.0001
0153048-55.2005.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0153048-55.2005.8.17.0001
0001583-06.2011.8.17.1030,/TJPE/AGRESTE1/PALMARES/CRIMINAL/VCRIM/0001583-06.2011.8.17.1030
0000174-61.2011.8.17.0620,/TJPE/SERTAO1/FLORESTA/VUNICA/0000174-61.2011.8.17.0620
0104327-33.2009.8.17.0001,/TJPE/CAPITAL/ACIDENTES DE TRABALHO/VACTRAB01/0104327-33.2009.8.17.0001
0000821-73.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0000821-73.2020.8.17.0480
0000032-94.2011.8.17.8012,/TJPE/CAPITAL/PRESIDENCIA/0000032-94.2011.8.17.8012
0014551-70.2019.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VJURI02/0014551-70.2019.8.17.0001
0002445-59.2020.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0002445-59.2020.8.17.8014
0000022-16.2021.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000022-16.2021.8.17.1120
0000828-64.2020.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000828-64.2020.8.17.8014
0002416-10.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0002416-10.2020.8.17.0480
0000246-07.2020.8.17.8033,/TJPE/ZONA_DA_MATA/GOIANA/CRIMINAL/VCRIM/0000246-07.2020.8.17.8033
0005860-03.2008.8.17.8004,/TJPE/CAPITAL/PRESIDENCIA/0005860-03.2008.8.17.8004
0000267-61.2020.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV01/0000267-61.2020.8.17.1120
0002552-07.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/VIOLENCIA DOMESTICA MULHER/VVDFM01/0002552-07.2020.8.17.0480
0003043-87.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM02/0003043-87.2015.8.17.0480
0020558-82.2002.8.17.8017,/TJPE/CAPITAL/PRESIDENCIA/0020558-82.2002.8.17.8017
